software,case,maxh,time_s,num_triangles,triangles_per_s,notes
DelaBella,A,,0.0,2,0.0,sanity
DelaBella,B,,0.0,9,0.0,sanity
DelaBella,C,100.0,0.08076201938092709,1086,13446.914878114994,
DelaBella,D,100.0,0.08089149370789528,1086,13425.39184554584,
DelaBella,D,50.0,0.23184043169021606,1263,5447.712423550064,
DelaBella,D,20.0,1.178274730220437,2297,1949.46046205223,
DelaBella,D,10.0,4.550718732178211,5790,1272.3264918701325,
DelaBella,D,5.0,17.943008275702596,18880,1052.2204365009532,
DelaBella,D,2.0,110.85265192016959,106740,962.8998328057022,
DelaBella,D,1.0,441.9076959528029,415314,939.8206996701791,
