software,case,maxh,time_s,num_triangles,triangles_per_s,notes
triangle,A,,0.0,2,0.0,sanity
triangle,B,,0.0,9,0.0,sanity
triangle,C,100.0,0.07522156089544296,4768,63386.08163990988,
triangle,D,100.0,0.07499543391168118,4768,63577.20398837967,
triangle,D,50.0,0.0749332532286644,4771,63669.99688964442,
triangle,D,20.0,0.07758366875350475,5146,66328.39207887466,
triangle,D,10.0,0.09888814575970173,8650,87472.56745029386,
triangle,D,5.0,0.2079461794346571,26695,128374.56342105274,
triangle,D,2.0,1.0308689400553703,160711,155898.57619666748,
triangle,D,1.0,3.9623199682682753,640816,161727.47408889027,
